GENE_SYMBOL,control,low_dose,high_dose
9330175E14Rik,5.919583333333333,5.906666666666667,6.074166666666667
9430008C03Rik,9.520666666666665,9.546333333333331,9.902000000000001
9430013L17Rik,6.226166666666667,6.297666666666667,6.238666666666667
9430015G10Rik,6.612666666666667,6.646833333333333,6.520166666666667
9430016H08Rik,9.975333333333333,10.000666666666667,10.022333333333334
9430019C24Rik,6.230999999999999,5.844999999999999,6.023
9430020K01Rik,8.246333333333334,8.174083333333334,8.177666666666667
9430023L20Rik,12.052333333333332,12.0065,12.149000000000001
9430034N14Rik,6.139500000000001,6.078666666666667,6.027666666666666
9430038I01Rik,8.368333333333332,8.398666666666665,8.365
9430040K09Rik,6.5936666666666675,6.6895,6.587000000000001
9430079G20Rik,7.511499999999999,7.6481666666666674,7.477166666666666
9430081H08Rik,6.0696666666666665,6.014666666666667,5.871666666666667
9530006C21Rik,7.7764999999999995,7.467833333333334,7.464666666666666
9530008L14Rik,9.079666666666666,8.706166666666666,9.057583333333332
9530029O12Rik,8.466,8.3715,8.404333333333334
9530036O11Rik,6.697666666666667,6.665833333333334,6.682833333333332
9530039L23Rik,9.343833333333333,8.508999999999999,9.357166666666666
9530053A07Rik,6.2155,5.954833333333333,6.0136666666666665
9530053J19Rik,6.4285,6.525500000000001,6.474166666666666
9530057J20Rik,6.092833333333334,6.096166666666668,6.178333333333334
9530068E07Rik,10.219166666666666,9.939333333333332,9.947750000000001
9530076L18,7.275333333333333,7.261,6.989833333333333
9530080O11Rik,10.916333333333332,11.346499999999999,11.404833333333334
9530091C08Rik,7.6427499999999995,7.54175,7.837666666666667
9630013D21Rik,8.787333333333335,8.821666666666667,8.929
9630019E01Rik,7.568333333333334,7.164666666666666,7.175999999999999
9630033C03Rik,6.374666666666667,7.029000000000001,6.840166666666666
9630033F20Rik,7.093583333333334,7.198833333333333,7.050916666666667
9830001H06Rik,6.260000000000001,6.1611666666666665,6.1498333333333335
9830163H01Rik,7.016166666666667,6.955666666666667,7.277333333333334
9930012K11Rik,5.699166666666666,5.669999999999999,5.6905
9930013L23Rik,6.2975,6.3155,6.461833333333334
9930017N22Rik,8.215166666666667,8.209666666666665,8.125333333333332
9930021J03Rik,6.961500000000001,7.015333333333333,7.034916666666667
9930024M15Rik,6.795166666666667,6.6546666666666665,6.673166666666666
9930104L06Rik,5.708333333333333,5.6865,5.764
A030001D20Rik,6.182333333333332,6.312166666666666,6.137333333333333
A030005L19Rik,5.865166666666667,5.822,5.893166666666667
A030007N12Rik,6.773000000000001,6.797000000000001,6.854666666666667
A030010E16Rik,5.813833333333332,5.946666666666666,5.9161666666666655
A030011A13Rik,7.051833333333332,7.340833333333333,7.293666666666667
A130004G07Rik,5.946000000000001,6.120666666666668,5.9928333333333335
A130010J15Rik,6.709444444444444,6.553055555555557,6.600499999999999
A130019P10Rik,7.872333333333334,7.723,7.8004999999999995
A130022F02Rik,8.255666666666666,8.062833333333334,8.226333333333333
A130022J15Rik,7.0,7.151166666666666,6.9955
A130072N09Rik,6.918166666666667,6.772833333333332,6.6755
A1cf,9.421,9.193666666666665,9.494333333333334
A230046K03Rik,7.870583333333333,7.912416666666668,7.8755
A230050P20Rik,11.969999999999999,11.906083333333333,11.898499999999999
A230051G13Rik,8.102,7.975499999999999,7.950333333333333
A230072C01Rik,5.8309999999999995,5.8183333333333325,5.741499999999999
A230072E10Rik,5.995,5.963666666666668,5.9864999999999995
A230092J17Rik,5.836833333333334,5.847,5.7506666666666675
A2ld1,9.777083333333332,9.431666666666667,9.739583333333334
A330021E22Rik,5.664833333333333,5.6785,5.728833333333334
A330040F15Rik,6.36,6.1290000000000004,6.166999999999999
A330049M08Rik,6.8886666666666665,6.645,7.187333333333332
A330105O20Rik,6.247,6.196833333333333,6.112666666666667
A430005L14Rik,13.438,13.310833333333335,13.225999999999999
A430033K04Rik,5.815333333333332,5.6855,5.7651666666666666
A430035B10Rik,6.387416666666667,6.3075,6.362333333333333
A430103D13Rik,6.010833333333333,6.114333333333334,6.0665000000000004
A430106A12Rik,7.192166666666666,7.229833333333333,7.228666666666666
A430107O13Rik,6.491499999999999,6.427166666666666,6.424833333333333
A530020G20Rik,6.21575,6.789500000000001,6.342916666666667
A530054K11Rik,7.1114999999999995,7.266666666666666,7.236888888888888
A530079E22Rik,6.171833333333335,5.997666666666667,6.128666666666667
A630001G21Rik,6.492999999999999,6.393833333333334,6.564833333333333
A630007B06Rik,8.051916666666667,8.209166666666667,8.066916666666666
A630031M23Rik,8.567333333333332,8.097666666666667,8.014166666666666
A630055G03Rik,7.1385000000000005,6.676833333333334,6.811166666666666
A630072M18Rik,5.977333333333333,6.089833333333334,6.040500000000001
A630089N07Rik,6.189166666666666,6.510833333333333,6.450333333333333
A730009E18Rik,6.155166666666666,5.899333333333334,6.100333333333334
A730011C13Rik,6.131833333333333,6.1241666666666665,6.081833333333333
A730011L01Rik,7.155333333333334,7.121375,7.203041666666667
A730081D07Rik,6.0986666666666665,6.1129999999999995,6.102333333333334
A830007P12Rik,7.774166666666666,7.782666666666667,7.871166666666667
A830010M20Rik,5.688166666666667,5.705333333333333,5.623
A830054O04Rik,5.910833333333333,5.669333333333333,5.856166666666667
A830080D01Rik,6.510166666666666,6.521166666666667,6.4430000000000005
A830093I24Rik,6.082333333333334,6.040833333333333,6.037999999999999
A930001C03Rik,7.5196666666666685,7.376666666666666,7.5633333333333335
